,lot_num,Artist,Name,Price,Width,height,medium,date_sold,date_painted
4540,6404561.0,KWON HYUN-JIN ,"<span style=""font-style: italic;"">Visual Poetry </span><span style=""font-style: italic;"">Pixel </span><span style=""font-style: italic;"">Series #676</span>",126000.0,131.5,131.5,Mixed Media,2022-12-01,2022.0
8411,6377638.0,AYAKO ROKKAKU ,<i>Untitled</i>,10290000.0,140.0,180.0,Others,2022-05-25,2021.0
8412,6377638.0,AYAKO ROKKAKU ,<i>Untitled</i>,10290000.0,140.0,180.0,Others,2022-05-25,2021.0
7273,6376907.0,EMMANUEL TAKU ,<i>A Red Pair</i>,1134000.0,129.5,147.3,Work on Paper,2022-05-26,2021.0
7277,6376907.0,EMMANUEL TAKU ,<i>A Red Pair</i>,1134000.0,129.5,147.3,Work on Paper,2022-05-26,2021.0
7749,6376917.0,JORDY KERWICK ,<i>Chic Imagery</i>,2142000.0,180.0,205.0,Mixed Media,2022-05-26,2021.0
7754,6376917.0,JORDY KERWICK ,<i>Chic Imagery</i>,2142000.0,180.0,205.0,Mixed Media,2022-05-26,2021.0
8341,6376951.0,RONALD VENTURA ,<i>GULP</i>,7560000.0,144.0,137.0,Others,2022-05-26,2021.0
8344,6376951.0,RONALD VENTURA ,<i>GULP</i>,7560000.0,144.0,137.0,Others,2022-05-26,2021.0
7001,6376952.0,I NYOMAN MASRIADI ,<i>Lupa (Forgot)</i>,819000.0,100.0,150.0,Others,2022-05-26,2021.0
7006,6376952.0,I NYOMAN MASRIADI ,<i>Lupa (Forgot)</i>,819000.0,100.0,150.0,Others,2022-05-26,2021.0
7179,6376962.0,ÁNGELES AGRELA ,<i>Bilma</i>,1008000.0,152.5,200.0,Work on Paper,2022-05-26,2021.0
7186,6376962.0,ÁNGELES AGRELA ,<i>Bilma</i>,1008000.0,152.5,200.0,Work on Paper,2022-05-26,2021.0
6816,6376969.0,SERGE ATTUKWEI CLOTTEY ,<i>Atongo</i>,693000.0,122.7,151.1,Oil on Canvas,2022-05-26,2021.0
6828,6376969.0,SERGE ATTUKWEI CLOTTEY ,<i>Atongo</i>,693000.0,122.7,151.1,Oil on Canvas,2022-05-26,2021.0
1010,6381966.0,CHARLES MALLE ,<i>La loterie du manège à Montmartre</i>,8820.0,92.0,73.0,Oil on Canvas,2022-06-29,2021.0
1345,6381552.0,DANKYI MENSAH ,<i>Kofi Angelo</i>,12600.0,91.0,124.0,Others,2022-07-01,2021.0
6200,6404540.0,JORDI RIBES ,<i>The Abandoned Chair</i>,403200.0,130.2,162.0,Oil on Canvas,2022-12-01,2021.0
7323,6404574.0,ZHANG YINGNAN ,<i>Goodbye Future</i>,1197000.0,200.0,150.0,Oil on Canvas,2022-12-01,2021.0
1296,6285838.0,JASON MARTIN ,<i>Untitled</i>,12500.0,33.8,48.6,Mixed Media,2020-10-23,2020.0
1325,6285838.0,JASON MARTIN ,<i>Untitled</i>,12500.0,33.8,48.6,Mixed Media,2020-10-23,2020.0
769,6285840.0,NATHALIE DU PASQUIER ,<i>Untitled</i>,6250.0,50,50.0,Oil on Canvas,2020-10-23,2020.0
787,6285840.0,NATHALIE DU PASQUIER ,<i>Untitled</i>,6250.0,50,50.0,Oil on Canvas,2020-10-23,2020.0
1524,6285841.0,ANISH KAPOOR ,<i>Scorched Earth</i>,15625.0,19,13.9,Work on Paper,2020-10-23,2020.0
1525,6285841.0,ANISH KAPOOR ,<i>Scorched Earth</i>,15625.0,19,13.9,Work on Paper,2020-10-23,2020.0
3131,6285842.0,RAQIB SHAW ,<i>Reflections on the Country Without a Post Office</i>,56250.0,48,30.0,Others,2020-10-23,2020.0
3161,6285842.0,RAQIB SHAW ,<i>Reflections on the Country Without a Post Office</i>,56250.0,48,30.0,Others,2020-10-23,2020.0
624,6285843.0,PIERS SECUNDA ,<i>Mosul Museum</i>,5000.0,60.3,42.5,Work on Paper,2020-10-23,2020.0
641,6285843.0,PIERS SECUNDA ,<i>Mosul Museum</i>,5000.0,60.3,42.5,Work on Paper,2020-10-23,2020.0
1661,6285844.0,CONOR HARRINGTON ,<i>Monument Man - of Rubble and Ruin</i>,18125.0,80,60.0,Oil on Canvas,2020-10-23,2020.0
1663,6285844.0,CONOR HARRINGTON ,<i>Monument Man - of Rubble and Ruin</i>,18125.0,80,60.0,Oil on Canvas,2020-10-23,2020.0
544,6285845.0,RACHEL WHITEREAD ,<i>Untitled</i>,4000.0,32,22.6,Work on Paper,2020-10-23,2020.0
550,6285845.0,RACHEL WHITEREAD ,<i>Untitled</i>,4000.0,32,22.6,Work on Paper,2020-10-23,2020.0
512,6285846.0,RICHARD DEACON ,<i>(i) Mirage 1</i>,3750.0,49.6,38.0,Others,2020-10-23,2020.0
522,6285846.0,RICHARD DEACON ,<i>(i) Mirage 1</i>,3750.0,49.6,38.0,Others,2020-10-23,2020.0
1079,6285847.0,YAHON CHANG ,<i>The Almighty</i>,10000.0,99.5,165.0,Others,2020-10-23,2020.0
1112,6285847.0,YAHON CHANG ,<i>The Almighty</i>,10000.0,99.5,165.0,Others,2020-10-23,2020.0
1197,6285848.0,RICHARD LONG ,<i>Untitled</i>,11250.0,10.9,308.8,Others,2020-10-23,2020.0
1210,6285848.0,RICHARD LONG ,<i>Untitled</i>,11250.0,10.9,308.8,Others,2020-10-23,2020.0
928,6285850.0,MONA HATOUM ,<i>SE</i>,8125.0,35.6,45.4,Others,2020-10-23,2020.0
942,6285850.0,MONA HATOUM ,<i>SE</i>,8125.0,35.6,45.4,Others,2020-10-23,2020.0
6895,6296690.0,KATHERINE BERNHARDT ,<i>Toilet Paper Summer</i>,750000.0,244,304.0,Others,2020-12-01,2020.0
6914,6296690.0,KATHERINE BERNHARDT ,<i>Toilet Paper Summer</i>,750000.0,244,304.0,Others,2020-12-01,2020.0
8140,6296691.0,HUANG YUXING ,<i>Gyatso's Palace</i>,4250000.0,230,145.3,Others,2020-12-01,2020.0
8141,6296691.0,HUANG YUXING ,<i>Gyatso's Palace</i>,4250000.0,230,145.3,Others,2020-12-01,2020.0
6801,6296480.0,TOMOYA TSUKAMOTO ,<i>Shadow and Dots 6</i>,687500.0,97,130.0,Others,2020-12-02,2020.0
6812,6296480.0,TOMOYA TSUKAMOTO ,<i>Shadow and Dots 6</i>,687500.0,97,130.0,Others,2020-12-02,2020.0
7997,6377581.0,ANDRÉ BUTZER ,<i>Untitled</i>,3276000.0,287.2,175.4,Others,2022-05-25,2020.0
8377,6377582.0,HILARY PECIS ,<i>Big Boy</i>,9198000.0,137.5,173.0,Others,2022-05-25,2020.0
