Price,Width,height,Area,date_sold
0.0,29,29.2,846.8,2022-11-19
0.0,37.2,56.2,2090.6,2022-11-19
0.0,81,60.0,4860,2022-11-19
0.0,35.5,21.6,766.8,2022-11-19
0.0,51,70.0,3570,2022-11-19
0.0,28.3,37.5,1061.3,2022-11-19
0.0,75.4,64.2,4840.7,2022-11-19
0.0,27,37.2,1004.4,2022-11-19
0.0,35.2,27.0,950.4,2022-11-19
0.0,60.4,73.2,4421.3,2022-11-19
0.0,42.5,54.3,2307.8,2022-11-19
0.0,92,73.0,6716,2022-11-19
0.0,55.3,34.9,1930.0,2022-11-19
0.0,54.3,46.5,2525.0,2022-11-19
0.0,82.6,90.5,7475.3,2022-11-19
0.0,46,38.1,1752.6,2022-11-19
0.0,86,149.5,12857,2022-11-19
0.0,38.5,55.5,2136.8,2022-11-19
0.0,55.3,46.0,2543.8,2022-11-19
0.0,38.2,55.5,2120.1,2022-11-19
0.0,92,73.6,6771.2,2022-11-19
0.0,36,39.7,1429.2,2022-11-19
0.0,73,116.2,8482.6,2022-11-19
0.0,60.3,87.0,5246.1,2022-11-19
0.0,203.2,177.8,36129.0,2022-11-16
0.0,101.6,127.0,12903.2,2022-11-16
0.0,61,74.2,4526.2,2022-11-16
0.0,274.3,274.3,75240.5,2022-11-16
0.0,260,220.0,57200,2022-11-16
0.0,381,220.2,83896.2,2022-11-18
0.0,219.1,142.9,31309.4,2022-11-18
0.0,25.4,25.4,645.2,2022-11-18
0.0,40.6,28.0,1136.8,2022-11-18
0.0,55.9,203.2,11358.9,2022-11-18
0.0,302.3,227.3,68712.8,2022-11-18
0.0,69.9,99.5,6955.1,2022-11-18
0.0,73.4,86.6,6356.4,2022-11-18
0.0,50,60.5,3025,2017-11-25
0.0,100,100.0,10000,2017-10-07
0.0,92,122.5,11270,2017-10-07
0.0,83.8,38.4,3217.9,2017-10-18
0.0,37.1,27.3,1012.8,2017-10-18
0.0,61,76.2,4648.2,2017-10-18
0.0,79.4,120.6,9575.6,2017-11-21
0.0,47.3,37.5,1773.8,2017-11-21
0.0,27.6,38.4,1059.8,2017-11-21
0.0,50,65.4,3270,2017-11-21
0.0,22,31.5,693,2017-11-14
0.0,31.4,47.5,1491.5,2017-11-14
0.0,63.5,48.2,3060.7,2017-11-16
0.0,45.7,40.7,1860.0,2017-11-23
0.0,75,36.0,2700,2017-11-27
0.0,27,34.9,942.3,2017-11-22
0.0,76.8,63.5,4876.8,2017-11-22
0.0,210,153.0,32130,2017-11-24
0.0,89.5,130.5,11679.8,2017-11-25
0.0,34.4,26.8,921.9,2017-11-25
0.0,104,72.0,7488,2017-12-05
0.0,70,100.0,7000,2017-12-05
0.0,37.4,425.0,15895.0,2017-12-06
0.0,37,51.5,1905.5,2020-12-02
0.0,66,56.0,3696,2020-12-01
0.0,16.5,40.0,660.0,2022-05-28
0.0,33.0,138.5,4570.5,
0.0,69.5,136.2,9465.9,2022-05-25
0.0,49.5,57.3,2836.4,2022-06-10
0.0,62.3,110.5,6884.2,2022-05-27
0.0,161.0,31.5,5071.5,2022-05-27
0.0,278.5,30.0,8355.0,2022-05-27
0.0,84.0,154.0,12936.0,2022-05-27
0.0,84.0,144.0,12096.0,2022-05-27
0.0,13.0,26.0,338.0,2022-05-27
0.0,70.8,136.0,9628.8,2022-05-27
0.0,29.0,132.5,3842.5,2022-05-27
0.0,29.0,125.0,3625.0,2022-05-27
0.0,42.5,186.5,7926.3,2022-05-27
0.0,41.0,100.4,4116.4,2022-05-27
0.0,77.0,132.5,10202.5,2022-05-27
0.0,168.5,20.5,3454.3,2022-05-27
0.0,48.8,116.5,5685.2,2022-05-27
0.0,34.0,142.0,4828.0,2022-05-27
0.0,29.5,125.5,3702.3,2022-05-27
0.0,46.0,180.3,8293.8,2022-05-27
0.0,39.0,166.5,6493.5,2022-05-27
0.0,14.6,18.5,270.1,2022-07-07
0.0,9.0,15.0,135.0,2022-05-18
0.0,49.5,59.5,2945.3,2022-05-18
0.0,24.7,15.1,373.0,2022-05-18
0.0,18.5,12.0,222.0,2022-05-18
0.0,16.5,40.0,660.0,2022-05-28
0.0,33.0,138.5,4570.5,2022-05-28
0.0,69.5,136.2,9465.9,2022-05-25
0.0,49.5,57.3,2836.4,2022-06-10
0.0,62.3,110.5,6884.2,2022-05-27
0.0,161.0,31.5,5071.5,2022-05-27
0.0,278.5,30.0,8355.0,2022-05-27
0.0,84.0,154.0,12936.0,2022-05-27
0.0,84.0,144.0,12096.0,2022-05-27
0.0,13.0,26.0,338.0,2022-05-27
0.0,70.8,136.0,9628.8,2022-05-27
0.0,29.0,132.5,3842.5,2022-05-27
0.0,29.0,125.0,3625.0,2022-05-27
0.0,42.5,186.5,7926.3,2022-05-27
0.0,41.0,100.4,4116.4,2022-05-27
0.0,77.0,132.5,10202.5,2022-05-27
0.0,168.5,20.5,3454.3,2022-05-27
0.0,48.8,116.5,5685.2,2022-05-27
0.0,34.0,142.0,4828.0,2022-05-27
0.0,29.5,125.5,3702.3,2022-05-27
0.0,46.0,180.3,8293.8,2022-05-27
0.0,39.0,166.5,6493.5,2022-05-27
0.0,94.5,116.8,11037.6,2023-02-09
0.0,23.5,24.7,580.5,2023-02-09
0.0,111.2,83.0,9229.6,2023-02-09
0.0,84.0,108.0,9072.0,2023-02-09
0.0,35.6,53.7,1911.7,2023-02-09
0.0,32.3,26.0,839.8,2023-02-09
0.0,104.2,78.8,8211.0,2023-02-09
0.0,80.0,42.5,3400.0,2023-02-09
0.0,5.2,8.0,41.6,2023-01-26
0.0,17.8,29.0,516.2,2022-12-13
0.0,37.3,23.5,876.6,2022-12-13
0.0,59.6,83.0,4946.8,2022-12-13
0.0,94.5,116.8,11037.6,2023-02-09
0.0,23.5,24.7,580.5,2023-02-09
0.0,111.2,83.0,9229.6,2023-02-09
0.0,84.0,108.0,9072.0,2023-02-09
0.0,35.6,53.7,1911.7,2023-02-09
0.0,32.3,26.0,839.8,2023-02-09
0.0,104.2,78.8,8211.0,2023-02-09
0.0,80.0,42.5,3400.0,2023-02-09
0.0,17.8,29.0,516.2,2022-12-13
0.0,37.3,23.5,876.6,2022-12-13
0.0,59.6,83.0,4946.8,2022-12-13
0.0,29,29.2,846.8,2022-11-19
0.0,37.2,56.2,2090.6,2022-11-19
0.0,81,60.0,4860,2022-11-19
0.0,35.5,21.6,766.8,2022-11-19
0.0,51,70.0,3570,2022-11-19
0.0,28.3,37.5,1061.3,2022-11-19
0.0,75.4,64.2,4840.7,2022-11-19
0.0,27,37.2,1004.4,2022-11-19
0.0,35.2,27.0,950.4,2022-11-19
0.0,60.4,73.2,4421.3,2022-11-19
0.0,42.5,54.3,2307.8,2022-11-19
0.0,92,73.0,6716,2022-11-19
0.0,55.3,34.9,1930.0,2022-11-19
0.0,54.3,46.5,2525.0,2022-11-19
0.0,82.6,90.5,7475.3,2022-11-19
0.0,46,38.1,1752.6,2022-11-19
0.0,86,149.5,12857,2022-11-19
0.0,38.5,55.5,2136.8,2022-11-19
0.0,55.3,46.0,2543.8,2022-11-19
0.0,38.2,55.5,2120.1,2022-11-19
0.0,92,73.6,6771.2,2022-11-19
0.0,36,39.7,1429.2,2022-11-19
0.0,73,116.2,8482.6,2022-11-19
0.0,60.3,87.0,5246.1,2022-11-19
0.0,203.2,177.8,36129.0,2022-11-16
0.0,101.6,127.0,12903.2,2022-11-16
0.0,61,74.2,4526.2,2022-11-16
0.0,274.3,274.3,75240.5,2022-11-16
0.0,260,220.0,57200,2022-11-16
0.0,381,220.2,83896.2,2022-11-18
0.0,219.1,142.9,31309.4,2022-11-18
0.0,25.4,25.4,645.2,2022-11-18
0.0,40.6,28.0,1136.8,2022-11-18
0.0,55.9,203.2,11358.9,2022-11-18
0.0,302.3,227.3,68712.8,2022-11-18
0.0,69.9,99.5,6955.1,2022-11-18
0.0,73.4,86.6,6356.4,2022-11-18
0.0,50,60.5,3025,2017-11-25
0.0,100,100.0,10000,2017-10-07
0.0,92,122.5,11270,2017-10-07
0.0,83.8,38.4,3217.9,2017-10-18
0.0,37.1,27.3,1012.8,2017-10-18
0.0,61,76.2,4648.2,2017-10-18
0.0,79.4,120.6,9575.6,2017-11-21
0.0,47.3,37.5,1773.8,2017-11-21
0.0,27.6,38.4,1059.8,2017-11-21
0.0,50,65.4,3270,2017-11-21
0.0,22,31.5,693,2017-11-14
0.0,31.4,47.5,1491.5,2017-11-14
0.0,63.5,48.2,3060.7,2017-11-16
0.0,45.7,40.7,1860.0,2017-11-23
0.0,75,36.0,2700,2017-11-27
0.0,27,34.9,942.3,2017-11-22
0.0,76.8,63.5,4876.8,2017-11-22
0.0,210,153.0,32130,2017-11-24
0.0,89.5,130.5,11679.8,2017-11-25
0.0,34.4,26.8,921.9,2017-11-25
0.0,104,72.0,7488,2017-12-05
0.0,70,100.0,7000,2017-12-05
0.0,37.4,425.0,15895.0,2017-12-06
0.0,37,51.5,1905.5,2020-12-02
0.0,66,56.0,3696,2020-12-01
300.0,21,46.0,966,2017-10-21
300.0,21,46.0,966,2017-10-21
375.0,30.8,43.2,1330.6,2017-10-18
375.0,30.8,43.2,1330.6,2017-10-18
378.0,35.8,22.0,787.6,2022-12-13
378.0,35.8,22.0,787.6,2022-12-13
500.0,29.5,28.2,831.9,2017-10-21
500.0,46,55.0,2530,2017-11-28
500.0,60,73.0,4380,2017-11-28
500.0,29.5,28.2,831.9,2017-10-21
500.0,46,55.0,2530,2017-11-28
500.0,60,73.0,4380,2017-11-28
504.0,25.5,18.0,459.0,2023-01-26
562.5,72.5,54.0,3915.0,2017-10-21
562.5,72.5,54.0,3915.0,2017-10-21
625.0,30.2,17.5,528.5,2017-10-18
625.0,21.6,30.5,658.8,2017-10-18
625.0,54.6,65.4,3570.8,2017-11-28
625.0,54,74.0,3996,2017-11-28
625.0,30.2,17.5,528.5,2017-10-18
625.0,21.6,30.5,658.8,2017-10-18
625.0,54.6,65.4,3570.8,2017-11-28
625.0,54,74.0,3996,2017-11-28
750.0,41.3,35.6,1470.3,2017-10-18
750.0,19.7,16.0,315.2,2020-12-08
750.0,41.3,35.6,1470.3,2017-10-18
750.0,19.7,16.0,315.2,2020-12-08
756.0,19.5,30.4,592.8,2022-07-05
756.0,46.4,16.8,779.5,2022-07-05
875.0,18.9,25.6,483.8,2017-12-08
875.0,34.9,16.5,575.9,2017-12-14
875.0,25,18.0,450,2020-12-08
875.0,18.9,25.6,483.8,2017-12-08
875.0,34.9,16.5,575.9,2017-12-14
875.0,25,18.0,450,2020-12-08
1000.0,36.2,25.4,919.5,2017-10-18
1000.0,50.5,45.0,2272.5,2017-10-21
1000.0,23,19.0,437,2017-10-21
1000.0,11.4,9.0,102.6,2017-12-08
1000.0,53.6,26.2,1404.3,2017-12-08
1000.0,27.5,19.8,544.5,2020-12-08
1000.0,36.2,25.4,919.5,2017-10-18
1000.0,50.5,45.0,2272.5,2017-10-21
1000.0,23,19.0,437,2017-10-21
1000.0,11.4,9.0,102.6,2017-12-08
1000.0,53.6,26.2,1404.3,2017-12-08
1000.0,27.5,19.8,544.5,2020-12-08
1008.0,61,50.8,3098.8,2022-11-22
1008.0,11.3,16.0,180.8,2023-01-26
1008.0,61,50.8,3098.8,2022-11-22
1125.0,25.4,14.0,355.6,2017-10-18
1125.0,35.6,22.9,815.2,2017-10-18
1125.0,64,102.0,6528,2017-11-28
1125.0,25.4,14.0,355.6,2017-10-18
1125.0,35.6,22.9,815.2,2017-10-18
1125.0,64,102.0,6528,2017-11-28
1134.0,110.0,160.0,17600.0,2022-09-21
1134.0,43.2,30.5,1317.6,2023-01-19
1134.0,43.2,30.5,1317.6,2023-01-19
1250.0,76.8,61.0,4684.8,2017-10-18
1250.0,24.8,35.0,868.0,2017-10-18
1250.0,56.5,38.1,2152.7,2017-10-18
1250.0,42.1,46.0,1936.6,2017-10-21
1250.0,64.5,61.0,3934.5,2017-10-21
1250.0,76.8,61.0,4684.8,2017-10-18
1250.0,24.8,35.0,868.0,2017-10-18
1250.0,56.5,38.1,2152.7,2017-10-18
1250.0,42.1,46.0,1936.6,2017-10-21
1250.0,64.5,61.0,3934.5,2017-10-21
1260.0,31.0,22.0,682.0,2022-06-14
1260.0,29.2,23.5,686.2,2022-09-20
1260.0,31.0,22.0,682.0,2022-06-14
1260.0,29.2,23.5,686.2,2022-09-20
1260.0,19.0,25.2,478.8,2023-01-26
1260.0,46.0,33.5,1541.0,2023-01-26
1375.0,125,156.0,19500,2017-10-21
1375.0,46.7,55.0,2568.5,2017-11-28
1375.0,30.5,25.4,774.7,2017-12-14
1375.0,132.5,182.5,24181.3,2020-12-02
1375.0,125,156.0,19500,2017-10-21
1375.0,46.7,55.0,2568.5,2017-11-28
1375.0,30.5,25.4,774.7,2017-12-14
1375.0,132.5,182.5,24181.3,2020-12-02
1386.0,11.0,9.0,99.0,2022-09-21
1500.0,43,30.0,1290,2017-10-21
1500.0,20,23.5,470,2017-12-04
1500.0,33,43.0,1419,2017-12-04
1500.0,38,28.4,1079.2,2020-10-23
1500.0,18.8,14.2,267.0,2020-12-08
1500.0,43,30.0,1290,2017-10-21
1500.0,20,23.5,470,2017-12-04
1500.0,33,43.0,1419,2017-12-04
1500.0,38,28.4,1079.2,2020-10-23
1500.0,18.8,14.2,267.0,2020-12-08
1512.0,14.8,22.3,330.0,2022-07-05
1600.0,20,23.5,470,2017-12-04
1600.0,33,43.0,1419,2017-12-04
1600.0,20,23.5,470,2017-12-04
1600.0,33,43.0,1419,2017-12-04
1625.0,105,118.0,12390,2017-10-21
1625.0,38.1,23.4,891.5,2017-12-14
1625.0,28.8,39.3,1131.8,2020-12-08
1625.0,105,118.0,12390,2017-10-21
1625.0,38.1,23.4,891.5,2017-12-14
1625.0,28.8,39.3,1131.8,2020-12-08
1638.0,52.8,36.3,1916.6,2022-06-14
1638.0,28.0,35.0,980.0,2022-09-21
1638.0,106.7,137.2,14639.2,2022-09-21
1638.0,52.8,36.3,1916.6,2022-06-14
1638.0,43.1,51.3,2211.0,2022-12-13
1638.0,43.1,51.3,2211.0,2022-12-13
1700.0,65,49.5,3217.5,2017-12-04
1700.0,65,49.5,3217.5,2017-12-04
1750.0,20.3,24.1,489.2,2017-10-18
1750.0,56.5,60.0,3390.0,2017-10-21
1750.0,20.3,24.1,489.2,2017-10-18
1750.0,56.5,60.0,3390.0,2017-10-21
1875.0,12.2,20.0,244.0,2017-10-18
1875.0,46,33.0,1518,2017-10-17
1875.0,76.2,50.8,3871.0,2017-11-28
1875.0,64,103.0,6592,2017-11-28
1875.0,12.7,8.3,105.4,2017-12-08
1875.0,37.5,27.8,1042.5,2020-10-23
1875.0,12.2,20.0,244.0,2017-10-18
1875.0,46,33.0,1518,2017-10-17
1875.0,76.2,50.8,3871.0,2017-11-28
1875.0,64,103.0,6592,2017-11-28
1875.0,12.7,8.3,105.4,2017-12-08
1875.0,37.5,27.8,1042.5,2020-10-23
1890.0,27.6,20.0,552.0,2022-09-20
1890.0,172.1,154.9,26658.3,2022-09-20
1890.0,109.6,75.0,8220.0,2022-09-21
1890.0,27.6,20.0,552.0,2022-09-20
1890.0,172.1,154.9,26658.3,2022-09-20
1890.0,19.3,24.6,474.8,2022-12-13
1890.0,19.3,24.6,474.8,2022-12-13
1995.0,11340.0,121.5,1377810.0,2022-09-21
2000.0,82,66.0,5412,2017-10-18
2000.0,76.2,61.0,4648.2,2017-10-18
2000.0,64,50.0,3200,2017-10-21
2000.0,60.7,80.5,4886.4,2017-10-21
2000.0,27.5,18.5,508.8,2017-12-04
2000.0,72.5,51.1,3704.8,2017-12-08
2000.0,30.9,22.4,692.2,2020-12-08
2000.0,19.5,23.5,458.3,2020-11-24
2000.0,82,66.0,5412,2017-10-18
2000.0,76.2,61.0,4648.2,2017-10-18
2000.0,64,50.0,3200,2017-10-21
2000.0,60.7,80.5,4886.4,2017-10-21
2000.0,27.5,18.5,508.8,2017-12-04
2000.0,72.5,51.1,3704.8,2017-12-08
2000.0,30.9,22.4,692.2,2020-12-08
2000.0,19.5,23.5,458.3,2020-11-24
2005.0,1134.0,28.0,31752.0,2022-09-21
2016.0,40.8,34.8,1419.8,2022-06-14
2016.0,40.8,34.8,1419.8,2022-06-14
2125.0,44.5,31.8,1415.1,2017-12-15
2125.0,44.5,31.8,1415.1,2017-12-15
2142.0,34.0,55.0,1870.0,2022-12-13
2142.0,34.0,55.0,1870.0,2022-12-13
2200.0,21,27.0,567,2017-12-04
2200.0,21,27.0,567,2017-12-04
2250.0,200,260.0,52000,2017-10-21
2250.0,55.9,43.8,2448.4,2017-11-28
2250.0,63,100.0,6300,2017-11-28
2250.0,200,260.0,52000,2017-10-21
2250.0,55.9,43.8,2448.4,2017-11-28
2250.0,63,100.0,6300,2017-11-28
2268.0,61.6,43.8,2698.1,2023-01-19
2268.0,61.6,43.8,2698.1,2023-01-19
2375.0,15.2,20.3,308.6,2017-10-18
2375.0,92,65.2,5998.4,2017-11-28
2375.0,64,102.0,6528,2017-11-28
2375.0,15.2,20.3,308.6,2017-10-18
2375.0,92,65.2,5998.4,2017-11-28
2375.0,64,102.0,6528,2017-11-28
2394.0,15.6,25.4,396.2,2022-09-20
2394.0,132.0,72.0,9504.0,2022-09-21
2394.0,15.6,25.4,396.2,2022-09-20
2500.0,45.7,55.2,2522.6,2017-10-18
2500.0,65.4,54.6,3570.8,2017-10-18
2500.0,22.9,30.5,698.5,2017-10-18
2500.0,29.2,24.1,703.7,2017-12-15
2500.0,21,26.7,560.7,2017-12-15
2500.0,37.8,26.8,1013.0,2017-11-28
2500.0,61,98.0,5978,2017-11-28
2500.0,79,107.0,8453,2017-11-28
2500.0,28,30.5,854,2017-12-06
2500.0,73.2,60.3,4414.0,2020-10-23
2500.0,43.7,35.5,1551.4,2020-11-23
2500.0,45.7,55.2,2522.6,2017-10-18
2500.0,65.4,54.6,3570.8,2017-10-18
2500.0,22.9,30.5,698.5,2017-10-18
2500.0,29.2,24.1,703.7,2017-12-15
2500.0,21,26.7,560.7,2017-12-15
2500.0,37.8,26.8,1013.0,2017-11-28
2500.0,61,98.0,5978,2017-11-28
2500.0,79,107.0,8453,2017-11-28
2500.0,28,30.5,854,2017-12-06
2500.0,73.2,60.3,4414.0,2020-10-23
2500.0,43.7,35.5,1551.4,2020-11-23
2520.0,92.1,63.5,5848.4,2022-11-22
2520.0,34.9,45.1,1574.0,2022-09-20
2520.0,24.3,31.8,772.7,2022-09-20
2520.0,33.0,24.8,818.4,2022-09-20
2520.0,19.7,26.7,526.0,2022-09-20
2520.0,27.9,34.3,957.0,2022-09-20
2520.0,27.7,35.2,975.0,2022-09-21
2520.0,19.5,26.7,520.7,2022-07-05
2520.0,69.0,55.5,3829.5,2022-06-29
2520.0,24.5,35.0,857.5,2022-06-29
2520.0,39.2,49.5,1940.4,2022-06-29
2520.0,34.9,45.1,1574.0,2022-09-20
2520.0,24.3,31.8,772.7,2022-09-20
2520.0,33.0,24.8,818.4,2022-09-20
2520.0,19.7,26.7,526.0,2022-09-20
2520.0,27.9,34.3,957.0,2022-09-20
2520.0,92.1,63.5,5848.4,2022-11-22
2600.0,20,23.5,470,2017-12-04
2600.0,20,23.5,470,2017-12-04
2750.0,79.4,99.7,7916.2,2017-10-18
2750.0,15.2,19.1,290.3,2017-10-18
2750.0,123.2,53.0,6529.6,2017-10-18
2750.0,135,185.0,24975,2017-10-21
2750.0,21,7.7,161.7,2017-10-21
2750.0,58.4,48.3,2820.7,2017-11-27
2750.0,38.3,28.6,1095.4,2017-11-28
2750.0,63,100.0,6300,2017-11-28
2750.0,15.8,20.4,322.3,2017-11-23
2750.0,32.6,40.7,1326.8,2017-11-29
2750.0,26.7,41.5,1108.1,2020-10-23
2750.0,30,17.0,510,2020-12-08
2750.0,20.1,16.6,333.7,2020-12-08
2750.0,79.4,99.7,7916.2,2017-10-18
2750.0,15.2,19.1,290.3,2017-10-18
2750.0,123.2,53.0,6529.6,2017-10-18
2750.0,135,185.0,24975,2017-10-21
2750.0,21,7.7,161.7,2017-10-21
2750.0,58.4,48.3,2820.7,2017-11-27
2750.0,38.3,28.6,1095.4,2017-11-28
2750.0,63,100.0,6300,2017-11-28
2750.0,15.8,20.4,322.3,2017-11-23
2750.0,32.6,40.7,1326.8,2017-11-29
2750.0,26.7,41.5,1108.1,2020-10-23
2750.0,30,17.0,510,2020-12-08
2750.0,20.1,16.6,333.7,2020-12-08
2772.0,90.0,61.0,5490.0,2022-09-21
2772.0,27.0,17.5,472.5,2022-05-18
2772.0,36.2,20.0,724.0,2022-05-18
2772.0,14.0,7.2,100.8,2023-01-26
2800.0,20,23.5,470,2017-12-04
2800.0,20,23.5,470,2017-12-04
3000.0,116.8,86.4,10091.5,2017-10-18
3000.0,24.1,34.3,826.6,2017-10-18
3000.0,17.2,21.5,369.8,2017-11-14
3000.0,23.5,32.6,766.1,2017-11-28
3000.0,65,54.0,3510,2017-11-28
3000.0,116.8,86.4,10091.5,2017-10-18
