Date,medium,count
2017-10,Others,161
2017-10,Oil on canvas,99
2017-10,Work on paper,31
2017-10,Print,5
2017-10,Mixed Media,1
2017-10,Graphite/Pencil,5
2017-11,Others,267
2017-11,Work on paper,197
2017-11,Oil on canvas,581
2017-11,Watercolor,1
2017-11,Graphite/Pencil,7
2017-11,Mixed Media,23
2017-11,Print,1
2017-11,Lithograph,7
2020-10,Others,177
2020-10,Oil on canvas,107
2020-10,Work on paper,65
2020-10,Graphite/Pencil,1
2020-10,Mixed Media,3
2020-11,Oil on canvas,241
2020-11,Others,233
2020-11,Mixed Media,7
2020-11,Work on paper,63
2020-11,Graphite/Pencil,3
2022-05,Others,111
2022-05,Work on paper,28
2022-05,Oil on canvas,181
2022-05,Mixed Media,17
2022-07,Others,18
2022-07,Oil on canvas,24
2022-07,Work on paper,16
2022-09,Others,45
2022-09,Work on paper,21
2022-09,Oil on canvas,83
2022-09,Mixed Media,5
2022-10,Oil on canvas,41
2022-10,Others,5
2022-10,Work on paper,5
2022-11,Oil on canvas,297
2022-11,Work on paper,75
2022-11,Others,158
2022-11,Graphite/Pencil,5
2022-12,Oil on canvas,107
2022-12,Others,81
2022-12,Work on paper,6
2022-12,Mixed Media,5
2022-12,Graphite/Pencil,1
2023-01,Oil on canvas,69
2023-01,Work on paper,5
