year,avg
2022-11-19,172927.97802197800
2022-11-16,4709638.888888890
2022-11-18,349601.7021276600
2017-11-25,841090.4255319150
2017-10-07,155693.18181818200
2017-10-18,13047.872340425500
2017-11-21,243776.7857142860
2017-11-14,172746.63978494600
2017-11-16,355945.2702702700
2017-11-23,44132.57575757580
2017-11-27,109237.98076923100
2017-11-22,298916.6666666670
2017-11-24,12940523.255814000
2017-12-05,683479.1666666670
2017-12-06,34008.620689655200
2020-12-02,1293206.0643564400
2020-12-01,7684213.0281690100
2022-05-28,604260.0
2022-05-25,29479411.76470590
2022-06-10,440082.35294117600
2022-05-27,623792.6530612250
2022-07-07,1343295.4545454500
2022-05-18,45110.333333333300
2023-02-09,0.0
2023-01-26,35009.333333333300
2022-12-13,73917.72972972970
2017-10-21,26014.139344262300
2017-11-28,7633.561643835620
2020-12-08,30187.5
2022-07-05,25847.18181818180
2017-12-08,22770.089285714300
2017-12-14,20450.0
2022-11-22,4536.0
2022-09-21,40945.10344827590
2023-01-19,105695.40983606600
2022-06-14,41711.04
2022-09-20,85369.75471698110
2017-12-04,9259.375
2020-10-23,72065.18404907980
2017-10-17,4041.6666666666700
2020-11-24,19750.0
2017-12-15,29135.9375
2020-11-23,81361.70212765960
2022-06-29,115518.7875
2017-11-29,10218.75
2020-12-04,127620.0
2017-10-20,226735.16949152500
2021-01-26,11250.0
2020-12-05,128014.70588235300
2022-07-01,94368.75
2017-10-31,171265.625
2022-10-22,7245.0
2020-11-18,53642.857142857100
2022-09-19,7560.0
2022-10-23,17136.0
2020-10-28,106536.45833333300
2022-10-21,391388.6440677970
2017-11-10,10000.0
2022-12-01,1731619.3023255800
2020-12-03,139715.9090909090
2020-11-13,168617.02127659600
2021-01-19,15000.0
2022-05-26,2007727.5
2022-06-07,149940.0
2017-10-25,53750.0
2023-01-25,371344.70588235300
2020-10-22,1306986.8421052600
2020-11-30,1010241.4772727300
2022-06-30,339300.0
2022-05-13,165258.94736842100
2017-10-03,344375.0
2020-12-10,358416.6666666670
2022-11-09,1446854.4
2023-01-27,111300.0
2022-12-08,519630.0
2017-12-07,685954.5454545450
2022-06-28,560357.1428571430
2017-10-19,652437.5
2022-06-09,1001533.3333333300
2022-06-27,1643500.0
2022-11-30,14540113.636363600
2022-10-20,1894028.5714285700
2020-10-06,3808764.705882350
2022-11-08,23614086.20689660
